No,X,Y,Laser Energy,XShutter,YShutter,Time,Date
1,30000,30000,(null),14.3,14.3,01:37:03:453,2016/11/18
2,30000,30000,(null),14.3,14.3,01:37:03:703,2016/11/18
3,30000,30000,(null),14.3,14.3,01:37:03:953,2016/11/18
4,30000,30000,(null),14.3,14.3,01:37:07:296,2016/11/18
5,30000,30000,(null),14.3,14.3,01:37:07:546,2016/11/18
6,30000,30000,(null),14.3,14.3,01:37:07:796,2016/11/18
7,30000,30000,(null),14.3,14.3,01:37:11:125,2016/11/18
8,30000,30000,(null),14.3,14.3,01:37:11:375,2016/11/18
9,30000,30000,(null),14.3,14.3,01:37:11:640,2016/11/18
10,30000,30000,(null),14.3,14.3,01:37:14:968,2016/11/18
11,30000,30000,(null),14.3,14.3,01:37:15:234,2016/11/18
12,30000,30000,(null),14.3,14.3,01:37:15:468,2016/11/18
13,30000,30000,(null),14.3,14.3,01:37:18:828,2016/11/18
14,30000,30000,(null),14.3,14.3,01:37:19:078,2016/11/18
15,30000,30000,(null),14.3,14.3,01:37:19:328,2016/11/18
16,30000,30000,(null),14.3,14.3,01:37:22:687,2016/11/18
17,30000,30000,(null),14.3,14.3,01:37:22:953,2016/11/18
18,30000,30000,(null),14.3,14.3,01:37:23:187,2016/11/18
19,30000,30000,(null),14.3,14.3,01:37:26:531,2016/11/18
20,30000,30000,(null),14.3,14.3,01:37:26:796,2016/11/18
21,30000,30000,(null),14.3,14.3,01:37:27:031,2016/11/18
22,30000,30000,(null),14.3,14.3,01:37:30:375,2016/11/18
23,30000,30000,(null),14.3,14.3,01:37:30:640,2016/11/18
24,30000,30000,(null),14.3,14.3,01:37:30:875,2016/11/18
25,30000,30000,(null),14.3,14.3,01:37:34:250,2016/11/18
26,30000,30000,(null),14.3,14.3,01:37:34:500,2016/11/18
27,30000,30000,(null),14.3,14.3,01:37:34:750,2016/11/18
28,30000,30000,(null),14.3,14.3,01:37:38:093,2016/11/18
29,30000,30000,(null),14.3,14.3,01:37:38:343,2016/11/18
30,30000,30000,(null),14.3,14.3,01:37:38:593,2016/11/18
