No,X,Y,Laser Energy,XShutter,YShutter,Time,Date
1,30000,30000,(null),14.3,14.3,01:45:52:562,2016/11/18
2,30000,30000,(null),14.3,14.3,01:45:52:828,2016/11/18
3,30000,30000,(null),14.3,14.3,01:45:53:062,2016/11/18
4,30000,30000,(null),14.3,14.3,01:45:56:437,2016/11/18
5,30000,30000,(null),14.3,14.3,01:45:56:703,2016/11/18
6,30000,30000,(null),14.3,14.3,01:45:56:937,2016/11/18
7,30000,30000,(null),14.3,14.3,01:46:00:312,2016/11/18
8,30000,30000,(null),14.3,14.3,01:46:00:578,2016/11/18
9,30000,30000,(null),14.3,14.3,01:46:00:812,2016/11/18
10,30000,30000,(null),14.3,14.3,01:46:04:187,2016/11/18
11,30000,30000,(null),14.3,14.3,01:46:04:453,2016/11/18
12,30000,30000,(null),14.3,14.3,01:46:04:687,2016/11/18
13,30000,30000,(null),14.3,14.3,01:46:08:046,2016/11/18
14,30000,30000,(null),14.3,14.3,01:46:08:296,2016/11/18
15,30000,30000,(null),14.3,14.3,01:46:08:546,2016/11/18
