No,X,Y,Laser Energy,XShutter,YShutter,Time,Date
1,30000,30000,(null),14.3,14.3,01:29:39:531,2016/11/18
2,30000,30000,(null),14.3,14.3,01:29:40:031,2016/11/18
3,30000,30000,(null),14.3,14.3,01:29:43:515,2016/11/18
4,30000,30000,(null),14.3,14.3,01:29:44:015,2016/11/18
5,30000,30000,(null),14.3,14.3,01:29:47:531,2016/11/18
6,30000,30000,(null),14.3,14.3,01:29:48:515,2016/11/18
7,30000,30000,(null),14.3,14.3,01:29:51:515,2016/11/18
8,30000,30000,(null),14.3,14.3,01:29:52:015,2016/11/18
9,30000,30000,(null),14.3,14.3,01:29:55:515,2016/11/18
10,30000,30000,(null),14.3,14.3,01:29:56:015,2016/11/18
