Date,Time,Ra,Rp,Rq,Rt,Rv,Rz,RPc,Trace 1 Width,Trace 1 Height,Space 1 Width,Trace 2 Width,Trace 2 Height,Space 2 Width
,,µm,µm,µm,µm,µm,µm,1/Micrometer,µm,µm,µm,µm,µm,µm
R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A
M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A
Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always
Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Meta Data,Meta Data,Basic Stats,Basic Stats,Basic Stats,Basic Stats,Basic Stats,Rz Analysis,Stylus Analysis:Average,Trace Analysis,Trace Analysis,Trace Analysis,Trace Analysis,Trace Analysis,Trace Analysis

1/17/2020,3:48:37 PM,6.69360568766494,11.892795768425,6.94360636664293,22.5201975214005,-10.6274017529755,22.1832490119324,0.0733943555966636,16.0948066711426,15.4361000061035,22.9459743499756,16.8714447021484,15.2780265808105,29.3029365539551
1/17/2020,3:49:01 PM,6.97054321349195,11.8319318406315,7.23505412072587,23.9516602604885,-12.119728419857,23.2156173313751,0.0754272958440145,17.1314105987549,16.0645523071289,22.1732330322266,17.8572978973389,15.7554397583008,28.1403408050537
1/17/2020,3:49:25 PM,6.85571590759999,11.6703053068943,7.07423957599007,22.5402133784294,-10.8699080715351,21.9780737785034,0.0669306481435484,16.7409572601318,15.5959911346436,22.6840705871582,16.8536701202393,15.4267358779907,29.3655033111572
1/20/2020,11:36:05 AM,6.71838072561349,12.0276191950035,6.96629444208829,22.6903577039108,-10.6627385089073,22.1802012802277,0.0769389693612753,16.1136989593506,15.4540348052979,23.1050624847412,16.7625255584717,15.315824508667,29.6375713348389
1/20/2020,11:40:02 AM,6.80174899083447,11.8616302929096,7.03529254941122,23.6741425192623,-11.8125122263527,22.4900709353828,0.0627083876298199,16.7834320068359,15.5093126296997,22.7213973999023,16.8294544219971,15.3769855499268,29.6600303649902
1/20/2020,11:46:39 AM,7.16964730035679,11.5729544672756,7.45518642861333,24.1570943092289,-12.5841398419533,23.2850717505569,0.0582254937510464,17.2523956298828,16.435998916626,21.1937046051025,18.9239349365234,16.2630558013916,27.5729904174805
1/20/2020,11:50:47 AM,6.80106781058089,11.1416532637825,7.08594173663194,23.6059809672203,-12.4643277034378,22.722121841011,0.0675040415466474,17.7560119628906,15.6349840164185,21.5399723052979,18.4893703460693,15.5298709869385,24.5698547363281
1/20/2020,11:54:44 AM,7.35262058162696,11.6529344455948,7.59981518701272,23.8761418227482,-12.2232073771534,23.4221132485428,0.0687029550258542,17.9109573364258,16.4879093170166,21.293909072876,18.5127639770508,16.2957801818848,28.0434684753418
1/20/2020,4:27:23 PM,6.93376999621259,12.4571860940266,7.1846314036747,24.135563052269,-11.6783769582424,23.2372925089989,0.0713092886763039,16.9111423492432,16.1315231323242,22.83762550354,17.2055072784424,15.6933155059814,29.1773376464844
1/20/2020,4:28:53 PM,6.9419117024455,11.9496722472382,7.19498145347542,23.7884542277012,-11.838781980463,23.1098803918991,0.07047526190816,16.9454612731934,16.100341796875,22.8654880523682,17.2099418640137,15.7277431488037,29.199779510498
