Date,Time,Ra,Rp,Rq,Rt,Rv,Rz,RPc,Trace 1 Width,Trace 1 Height,Space 1 Width,Trace 2 Width,Trace 2 Height,Space 2 Width
,,µm,µm,µm,µm,µm,µm,1/Millimeter,µm,µm,µm,µm,µm,µm
R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A
M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A
Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always
Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Meta Data,Meta Data,Basic Stats,Basic Stats,Basic Stats,Basic Stats,Basic Stats,Rz Analysis,Stylus Analysis:Average,Trace Analysis,Trace Analysis,Trace Analysis,Trace Analysis,Trace Analysis,Trace Analysis

12/18/2019,12:37:42 PM,0.536540021735646,1.83932724859715,0.632566002365386,4.36079732357597,-2.52147007497883,3.93905293592834,206.473751788626,,,,,,
12/18/2019,12:38:51 PM,,,,,,,,22.5724658966064,15.1300020217896,30.4306926727295,14.2697982788086,16.338508605957,32.7921333312988
12/18/2019,12:39:26 PM,0.569024680668342,2.28239608283901,0.683016626827895,4.93090154141521,-2.6485054585762,4.39552120726919,202.042984582861,,,,,,
12/18/2019,12:40:06 PM,0.528283567492305,2.05909712581444,0.630194150652342,4.84238428607082,-2.78328716025639,4.33119501997662,205.379091655437,,,,,,
12/18/2019,12:41:17 PM,,,,,,,,,,,,,
12/18/2019,12:41:43 PM,0.558715906933602,2.34974188288307,0.672744408520765,5.26890526751518,-2.91916338463211,4.55613787752485,209.392845477129,,,,,,
12/18/2019,12:42:27 PM,0.53031848165637,2.12727077202988,0.635139044904723,4.58936934021664,-2.46209856818676,4.26267245685768,206.734385153671,,,,,,
12/18/2019,12:43:28 PM,,,,,,,,21.3029232025146,14.9058752059937,31.3717060089111,,,33.7811393737793
12/18/2019,12:43:58 PM,0.536123069530192,2.35837409916973,0.653138276733565,5.27345570026875,-2.91508160109901,4.77513009939051,211.008772340408,,,,,,
12/18/2019,12:44:37 PM,0.53158985969848,2.3425966452198,0.631341532000153,4.78705888500023,-2.44446223978043,4.17558594223022,206.995018518716,,,,,,
12/18/2019,12:45:40 PM,,,,,,,,22.5002861022949,15.463433265686,30.6509189605713,,,33.1170196533203
12/18/2019,12:46:11 PM,0.579809150935245,2.27966884673023,0.694919918628602,5.34827932774544,-3.06861048101521,4.84967646794128,205.431218328446,,,,,,
