Date,Time,Ra,Rp,Rq,Rt,Rv,Rz,RPc,Trace 1 Width,Trace 1 Height,Space 1 Width,Trace 2 Width,Trace 2 Height,Space 2 Width
,,µm,µm,µm,µm,µm,µm,1/Micrometer,µm,µm,µm,µm,µm,µm
R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A
M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A
Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always
Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Meta Data,Meta Data,Basic Stats,Basic Stats,Basic Stats,Basic Stats,Basic Stats,Rz Analysis,Stylus Analysis:Average,Trace Analysis,Trace Analysis,Trace Analysis,Trace Analysis,Trace Analysis,Trace Analysis

1/20/2020,5:39:33 PM,6.35611480959974,12.3639932312336,6.77572514323166,24.8769806320553,-12.5129874008217,24.1174072791138,0.0811612298750039,17.0547046661377,15.2765874862671,22.7459049224854,,,24.9612293243408
1/20/2020,5:39:58 PM,6.63324511317014,12.2053430735779,7.07041819569083,24.9135884856148,-12.7082454120369,24.2881189559326,0.0770953493803024,18.618257522583,15.7390823364258,21.8978977203369,,,23.8578453063965
1/20/2020,5:40:22 PM,6.55025256753328,11.8790821851711,6.90879555524398,25.1030582254257,-13.2239760402546,23.7222398375816,0.0676604215656744,16.8846015930176,15.3576173782349,22.5380935668945,,,25.0135955810547
1/20/2020,5:40:47 PM,6.77445372660026,11.4920347716808,7.26290346099223,24.9968520320206,-13.5048172603397,24.0073115995331,0.0638551744360178,19.5079345703125,16.3167972564697,20.6232795715332,,,23.0209121704102
1/20/2020,5:41:11 PM,6.94732260129541,11.7735097264538,7.39211013432715,25.5715296615429,-13.7980199350891,24.4143555193749,0.0673476615276204,19.2627716064453,16.5273151397705,20.8059501647949,,,23.5315837860107
1/20/2020,5:41:36 PM,6.62514362237252,11.6035091870327,7.01279480414585,24.3019607374248,-12.6984515503922,23.5065257414246,0.0634902877249548,18.5823364257813,15.6480112075806,21.1529235839844,18.79274559021,15.4958877563477,25.3897361755371
1/20/2020,5:42:02 PM,7.11162818536941,12.2172461590691,7.5618164848949,26.3339052344685,-14.1166590753994,25.3725792991791,0.0721433154444479,18.0528678894043,16.7816162109375,21.3408660888672,,,24.0884532928467
1/20/2020,5:42:25 PM,6.77565460649269,11.7035207448063,7.18592939657417,26.2460628340015,-14.5425420891953,24.0581796929855,0.0717263020603759,18.2621288299561,15.9783945083618,21.2397270202637,,,24.0427150726318
1/20/2020,5:42:46 PM,6.97237892895255,11.8694902962227,7.33250643055247,24.6730813339233,-12.8035910377007,23.7095482119827,0.0702667552161241,22.9019603729248,16.5027923583984,20.8813228607178,18.7232913970947,16.1238231658936,23.5722160339355
1/20/2020,5:43:09 PM,7.06041201517189,11.8726722732525,7.44008398552569,24.7077166277962,-12.8350443545437,24.3568186986923,0.0677125482386834,18.4605255126953,16.3585567474365,21.0008926391602,,,23.9867134094238
