Date,Time,Step Avg,Ra,Rp,Rq,Rt,Rv
,,µm,µm,µm,µm,µm,µm
R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A
M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A
Always,Always,Always,Always,Always,Always,Always,Always
Always,Always,Always,Always,Always,Always,Always,Always
,,,,,,,
,,,,,,,
Meta Data,Meta Data,Step Height,Basic Stats,Basic Stats,Basic Stats,Basic Stats,Basic Stats

10/30/2019,2:56:40 PM,7.74069147945786,2.83860657749411,10.9831013716793,3.46182631702879,18.7271096851387,-7.7440083134594
10/30/2019,2:57:01 PM,,0.643909128031342,2.64013774879456,0.785618235627012,9.76367196403504,-7.12353421524048
10/30/2019,2:57:20 PM,7.7329009909544,2.74514104430732,10.0319897218037,3.38505477007585,19.7846846493702,-9.75269492756653
10/30/2019,2:57:46 PM,5.9141663658514,2.54441145591385,9.62727625974655,3.12418590095414,16.3567068518429,-6.72943059209633
10/30/2019,2:58:44 PM,,0.611415467064493,2.84878001953125,0.802346808972714,8.15629629173279,-5.30751627220154
10/30/2019,2:59:01 PM,5.85699576472664,2.56263644579394,13.5302398861885,3.15889637937902,20.6134610384846,-7.08322115229607
