Date,Time,Ra,Rp,Rq,Rt,Rv,Rz,RPc
,,µm,µm,µm,µm,µm,µm,1/Millimeter
R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A
M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A
Always,Always,Always,Always,Always,Always,Always,Always,Always
Always,Always,Always,Always,Always,Always,Always,Always,Always
,,,,,,,,
,,,,,,,,
Meta Data,Meta Data,Basic Stats,Basic Stats,Basic Stats,Basic Stats,Basic Stats,Rz Analysis,Stylus Analysis:Average

11/28/2019,12:49:22 PM,0.753683633564507,2.57944126171875,0.991021441075913,19.4929187578125,-16.9134774960938,18.0119789179687,30.0388810129322
11/28/2019,12:49:25 PM,0.78041679856991,2.625366046875,1.07383037644289,19.5738170976562,-16.9484510507812,18.2632371796875,28.1783882090431
11/28/2019,12:49:28 PM,0.777082774634027,2.66641347070312,1.07119255540384,19.3868795097656,-16.7204660390625,18.1836040546875,27.3810341502335
11/28/2019,12:49:31 PM,0.769359976751841,2.63110978710937,1.01822074156531,19.3704518261719,-16.7393420390625,17.9892938671875,28.475441681933
11/28/2019,12:49:34 PM,0.747293486598312,2.76787699804687,0.979515640817526,19.4733129550781,-16.7054359570313,18.130364484375,27.4748405100935
11/28/2019,12:49:37 PM,0.764363184127886,2.49845494335937,1.04543383476623,19.4068246582031,-16.9083697148437,18.1138848515625,29.3353333139826
11/28/2019,12:49:40 PM,0.773858861787238,2.77359727734375,1.03901055044488,19.6181381601562,-16.8445408828125,18.0709965820312,30.5183357411053
11/28/2019,12:49:44 PM,0.797927014537928,2.55625515234375,1.11501908664234,19.6301065898437,-17.0738514375,18.149951015625,26.0729565766308
11/28/2019,12:49:47 PM,0.776595466257971,2.54056983984375,1.09572387969232,19.5652991015625,-17.0247292617188,18.1186993710937,27.2559590037536
11/28/2019,12:49:50 PM,0.776410243547255,2.80146887109375,1.08600083269834,19.53160584375,-16.7301369726563,17.8645738476562,27.5842812632634
