Date,Time,Ra,Rp,Rq,Rt,Rv,Rz,RPc,Trace 1 Width,Trace 1 Height,Space 1 Width,Trace 2 Width,Trace 2 Height,Space 2 Width
,,µm,µm,µm,µm,µm,µm,1/Millimeter,µm,µm,µm,µm,µm,µm
R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A
M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A
Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always
Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Meta Data,Meta Data,Basic Stats,Basic Stats,Basic Stats,Basic Stats,Basic Stats,Rz Analysis,Stylus Analysis:Average,Trace Analysis,Trace Analysis,Trace Analysis,Trace Analysis,Trace Analysis,Trace Analysis

12/18/2019,4:29:03 PM,,,,,,,,21.0483150482178,17.3697109222412,31.1668853759766,,,29.361255645752
12/18/2019,4:29:29 PM,0.488773564867125,1.84879819581127,0.585422157007932,4.15113575651264,-2.30233756070137,3.82903224022293,207.464158575797,,,,,,
12/18/2019,4:30:08 PM,,,,,,,,21.2704200744629,17.2800979614258,20.7163581848145,,,
12/18/2019,4:30:48 PM,0.51873981194602,1.80028362850857,0.617684833977265,4.17010425812244,-2.36982062961388,3.95257240769863,209.392845477129,,,,,,
12/18/2019,4:31:55 PM,,,,,,,,21.2639408111572,16.9863033294678,31.6956424713135,,,29.141939163208
12/18/2019,4:32:49 PM,0.531187984743789,2.39447520686245,0.628291513376697,4.98688667964649,-2.59241147278404,4.38054559701776,213.458725971831,,,,,,
12/18/2019,4:33:36 PM,,,,,,,,21.5087337493896,16.5909290313721,31.3950939178467,,,27.7031669616699
12/18/2019,4:34:14 PM,0.491413591274875,1.91443690327549,0.591944448459886,4.27758336328125,-2.36314646000576,3.93048905172157,208.558818708985,,,,,,
12/18/2019,4:34:57 PM,,,,,,,,22.3040065765381,17.8610782623291,28.6635761260986,,,
12/18/2019,4:35:40 PM,0.515264429838454,1.84852123923969,0.613922209209966,4.48701090808868,-2.63848966884899,4.20242412249184,212.937459241741,,,,,,
12/18/2019,4:36:52 PM,,,,,,,,21.676721572876,16.3278942108154,31.4303512573242,,,27.0159149169922
12/18/2019,4:38:11 PM,,,,,,0,NaN,,,,,,
12/18/2019,4:39:13 PM,,,,,,,,21.3316688537598,15.7672958374023,31.0297203063965,,,29.7115879058838
12/18/2019,4:39:35 PM,0.469774612033982,2.05139434675598,0.567816810651087,4.29583468040657,-2.24444033365059,3.85149142263937,209.549225496156,,,,,,
12/18/2019,4:40:05 PM,,,,,,,,21.7239818572998,15.9310474395752,28.7650947570801,,,
12/18/2019,4:40:32 PM,0.518300183647825,2.018221238451,0.618621005454421,4.50060778256893,-2.48238654411793,4.13464353691292,209.444972150138,,,,,,
12/18/2019,4:41:57 PM,,,,,,,,21.4057865142822,14.5903158187866,31.2242622375488,,,30.1501350402832
12/18/2019,4:42:23 PM,0.539212125519402,2.5608136305685,0.633817302267298,5.03511703387356,-2.47430340330505,4.17628710193491,211.217279032444,,,,,,
