Date,Time,Ra,Rp,Rq,Rt,Rv,Rz,RPc,Trace 1 Width,Trace 1 Height,Space 1 Width,Trace 2 Width,Trace 2 Height,Space 2 Width
,,µm,µm,µm,µm,µm,µm,1/Micrometer,µm,µm,µm,µm,µm,µm
R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A
M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A
Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always
Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Meta Data,Meta Data,Basic Stats,Basic Stats,Basic Stats,Basic Stats,Basic Stats,Rz Analysis,Stylus Analysis:Average,Trace Analysis,Trace Analysis,Trace Analysis,Trace Analysis,Trace Analysis,Trace Analysis

1/17/2020,3:38:05 PM,6.59106123231201,12.448277525877,6.91002561801823,23.8893244717884,-11.4410469459114,23.2799655905342,0.0736028622886997,15.9271984100342,15.4969911575317,22.9424571990967,16.8264617919922,15.3196067810059,29.0190315246582
1/17/2020,3:38:31 PM,6.82507197653075,12.1844636925659,7.1594295200396,24.8735845881558,-12.6891208955898,24.022632498436,0.071257162003295,17.0155029296875,15.9428329467773,22.0311088562012,17.965202331543,15.6795988082886,27.6320686340332
1/17/2020,3:38:54 PM,6.71898324483959,12.0079032734756,6.99865377627959,23.6879806725025,-11.6800773990269,22.953149579567,0.0612488407855681,16.6892910003662,15.5280914306641,22.5323791503906,16.9028816223145,15.3546323776245,29.5214977264404
