Date,Time,Ra,Rp,Rq,Rt,Rv,Rz,RPc,Trace 1 Width,Trace 1 Height,Space 1 Width,Trace 2 Width,Trace 2 Height,Space 2 Width
,,µm,µm,µm,µm,µm,µm,1/Millimeter,µm,µm,µm,µm,µm,µm
R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A
M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A
Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always
Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Meta Data,Meta Data,Basic Stats,Basic Stats,Basic Stats,Basic Stats,Basic Stats,Rz Analysis,Stylus Analysis:Average,Trace Analysis,Trace Analysis,Trace Analysis,Trace Analysis,Trace Analysis,Trace Analysis

12/18/2019,1:06:17 PM,0.539487294205899,2.57000580708504,0.647411630073573,5.16499878118801,-2.59499297410297,4.51954846757984,210.122618899255,,,,,,
12/18/2019,1:06:39 PM,,,,,,,,28.5768241882324,16.96044921875,16.733362197876,,,38.0288276672363
12/18/2019,1:07:08 PM,0.534840814412675,1.91255202634621,0.637183763410892,4.5439012952013,-2.63134926885509,4.12687121635723,204.336558195257,,,,,,
12/18/2019,1:07:45 PM,0.532101253059341,2.19290524653339,0.637861865986024,4.73449156018066,-2.54158631364727,4.25851327061462,211.842799108552,,,,,,
12/18/2019,1:08:08 PM,,,,,,,,28.8826808929443,17.4942874908447,16.3427734375,,,38.1678848266602
12/18/2019,1:08:37 PM,0.527344177070596,1.76436393341732,0.627198973566417,4.25066657089233,-2.48630263747501,4.08934662445164,208.715198728012,,,,,,
12/18/2019,1:09:13 PM,0.540040631552536,2.298797596138,0.645424263903671,5.01241989859486,-2.71362230245686,4.57667529578304,208.298185343941,,,,,,
12/18/2019,1:09:36 PM,,,,,,,,29.0390396118164,16.7718753814697,16.3380031585693,,,37.5269393920898
12/18/2019,1:10:06 PM,0.547802152569018,2.0653449758091,0.651266205420169,4.62147271888161,-2.55612774307251,4.15909311792183,208.298185343941,,,,,,
