Date,Time,Ra,Rp,Rq,Rt,Rv,Rz,RPc,Trace 1 Width,Trace 1 Height,Space 1 Width,Trace 2 Width,Trace 2 Height,Space 2 Width
,,µm,µm,µm,µm,µm,µm,1/Millimeter,µm,µm,µm,µm,µm,µm
R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A
M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A
Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always
Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Meta Data,Meta Data,Basic Stats,Basic Stats,Basic Stats,Basic Stats,Basic Stats,Rz Analysis,Stylus Analysis:Average,Trace Analysis,Trace Analysis,Trace Analysis,Trace Analysis,Trace Analysis,Trace Analysis

12/18/2019,3:14:46 PM,0.525376386808208,1.7948358080864,0.625054069385744,4.34535245939541,-2.55051665130901,4.07153372111321,208.141805324914,,,,,,
12/18/2019,3:15:06 PM,,,,,,,,65.7129058837891,17.6671295166016,37.7173385620117,,,
12/18/2019,3:15:32 PM,0.538408225362732,1.97142464848423,0.640387933322275,4.28479270006371,-2.31336805157948,3.99779191744995,207.30777855677,,,,,,
12/18/2019,3:17:24 PM,0.511780234957506,2.04129813077545,0.614131621724308,4.63903043516064,-2.59773230438519,4.10388200679016,206.317371769599,,,,,,
12/18/2019,3:17:46 PM,,,,,,,,64.0794830322266,18.0982284545898,37.5290870666504,,,
12/18/2019,3:18:11 PM,0.55399092138464,2.33787145166016,0.656346699666903,5.04350676198292,-2.70563531032276,4.26924684953499,208.246058670931,,,,,,
12/18/2019,3:19:02 PM,0.531389536627254,2.02618404223824,0.634335475258157,4.46068914903259,-2.43450510679436,4.15685630054569,207.568411921815,,,,,,
12/18/2019,3:19:24 PM,,,,,,,,63.7678527832031,17.3090534210205,38.2538223266602,,,
12/18/2019,3:19:50 PM,0.557760562149437,2.02071928997326,0.659967003282558,5.03777835673714,-3.01705906676388,4.30300622289705,211.217279032444,,,,,,
